cluster,location,property_type,bedrooms,area_sqft,contract_rent,duration_months,annualised_rent,annualised_rent_per_sqft,rental_yield_pct,contract_type,start_date,end_date,purchase_price,source_file,source_page,record_uid
Orania,"Orania, The Valley, Al Yufrah 1",Villa,3,1873.0,132000.0,12,132000.0,70.47517351841965,7.9,Renewed,2026-11-15,2027-11-14,1700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,58ad565c51d7cbf85dcdcecea7c374afe29174a8
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,145000.0,12,145000.0,77.41591030432461,5.6,Renewed,2026-09-07,2027-09-06,2600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,58221e1b7d0927a4b2edeb95915716fc85dc1f56
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1898.0,127000.0,12,127000.0,66.91253951527924,8.5,New,2026-09-05,2027-09-04,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,e789a2e75151c21395082b49dbb44223300a057b
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,130000.0,12,130000.0,69.40736785904966,4.1,New,2026-09-01,2027-08-31,3200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,92ed95d372e733447d451300b8b5533c8dfc4f70
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,126000.0,12,126000.0,67.27175654030967,8.8,Renewed,2026-09-01,2027-08-31,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,f2cfd3879c1b3d3db11821dd895fb79dd59e08a6
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,120000.0,12,120000.0,64.06833956219968,9.9,New,2026-09-01,2027-08-31,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,bcf2d7db4a20eeb712dc00d01b2caecc403d945a
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,140000.0,12,140000.0,74.74639615589963,9.0,New,2026-09-01,2027-08-31,1600000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,45b5ceda5da5a52361c214fb213ac14d89989336
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,150000.0,12,150000.0,80.0854244527496,10.2,New,2026-09-01,2027-08-31,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",7,64ce1c32b35947fb43ec60bfee720a8e3ead971b
Nara,"Nara, The Valley, Al Yufrah 1",Villa,4,2750.0,165000.0,12,165000.0,60.0,9.4,New,2026-09-01,2027-08-31,1800000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,3d88e09877fda5c1c453e5034e9d52a94457d42b
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,140000.0,12,140000.0,74.74639615589963,11.7,Renewed,2026-09-01,2027-08-31,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,aaa604a7dbaaf65bd0668dced11043c4b0c02727
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1873.0,120000.0,12,120000.0,64.06833956219968,9.9,New,2026-09-01,2027-08-31,1200000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,1ceb1e206551bda957721743a355a29dd667c2b7
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,135000.0,12,135000.0,72.07688200747464,8.9,Renewed,2026-09-01,2027-08-31,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,1c9a8717230028b89c15a554d6996ecb1c3334b5
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,128000.0,12,128000.0,68.33956219967966,8.8,Renewed,2026-09-01,2027-08-31,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,d5ab618e3f5d71fe746d89200fcbac9975b6b86a
Talia,"Talia, The Valley, Al Yufrah 1",Villa,3,1873.0,128000.0,12,128000.0,68.33956219967966,8.8,Renewed,2026-09-01,2027-08-31,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",4,3115db0066587ee0cf6bd7b50e5ac08c8deb0971
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2770.0,170000.0,12,170000.0,61.371841155234655,7.5,New,2026-08-31,2027-08-30,2300000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,cae56e4cbc06f032d46452210cf94570ca9426cd
Elora,"Elora, The Valley, Al Yufrah 1",Villa,4,3301.0,190000.0,12,190000.0,57.55831566192063,7.8,New,2026-08-30,2027-08-29,2400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,80a9ad72d85e5794e3db90990b9fd8a6fbce9163
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,145000.0,12,145000.0,77.41591030432461,9.7,Renewed,2026-08-29,2027-08-28,1500000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",9,0531b009e78946030474873d123ced91df3a04f9
Elora,"Elora, The Valley, Al Yufrah 1",Villa,3,1483.0,147000.0,12,147000.0,99.12339851652057,6.4,New,2026-08-28,2027-08-27,2300000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",2,e52abbf597adb9341882b895ed15639282ca614d
Elora,"Elora, The Valley, Al Yufrah 1",Villa,3,1482.0,135000.0,12,135000.0,91.09311740890688,,New,2026-08-27,2027-08-26,,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,37d4d7c2b147a3327a55467129b7cbb865c6f0f1
Talia,"Talia, The Valley, Al Yufrah 1",Villa,4,2772.0,163000.0,12,163000.0,58.8023088023088,4.9,New,2026-08-26,2027-08-25,3400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",6,e9fa5b1184a778ec46d09d93680f230f72118115
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,150000.0,12,150000.0,80.0854244527496,4.9,Renewed,2026-08-25,2027-08-24,3000000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,99315e5414ea666bc04005d2babb3f5c4d208e42
Nara,"Nara, The Valley, Al Yufrah 1",Villa,3,1873.0,125000.0,12,125000.0,66.73785371062466,8.9,New,2026-08-25,2027-08-24,1400000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",5,2f34c3bba5084824572e9eafcaf930db656510a2
Eden,"Eden, The Valley, Al Yufrah 1",Villa,3,1898.0,125000.0,12,125000.0,65.85879873551106,7.6,New,2026-08-25,2027-08-24,1700000.0,"The Valley (All Phases), Al Yufrah 1-4.pdf",3,600fd7d6dc0233628b944af44e26e3fbfd67bdad
